Time,x,y,z,Speedbreaker,Pothole
54.327,-3.64,3.53,7.89,0,0
54.393,-4.71,2.03,9.23,0,0
54.461,-2.6,5.52,6.7,0,0
54.521,-2.79,6.05,7.12,0,0
54.591,-2.87,5.22,6.74,0,0
54.661,-2.18,4.4,7.55,0,0
54.734,-3.26,4.21,8.5,0,0
54.801,-2.6,3.99,7.74,0,0
54.871,-2.53,4.4,7.78,0,0
54.941,-2.53,4.1,8.39,0,0
55.007,-2.45,4.06,7.86,0,0
55.074,-2.64,4.14,7.89,0,0
55.145,-2.56,4.14,7.97,0,0
55.207,-2.64,4.06,7.7,0,0
55.272,-2.72,4.18,7.93,0,0
55.342,-2.56,3.99,8.77,0,0
55.413,-2.34,4.18,7.08,0,0
55.477,-2.79,3.99,8.47,0,0
55.539,-2.72,4.06,7.86,0,0
55.61,-2.3,4.14,7.97,0,0
55.673,-2.53,4.14,8.47,0,0
55.741,-2.37,4.14,7.86,0,0
55.804,-0.57,4.75,8.43,0,0
55.874,1.23,3.34,8.35,0,0
55.937,2.26,5.18,7.27,0,0
56.001,2.45,5.75,6.13,0,0
56.072,0.8,5.79,6.24,0,0
56.137,2.22,5.18,7.78,0,0
56.2,1.88,5.22,8.12,0,0
56.26,2.07,4.75,8.27,0,0
56.322,1.95,5.18,8.01,0,0
56.391,1.38,4.79,7.08,0,0
56.462,1.61,4.06,6.66,0,0
56.531,2.56,5.22,7.31,0,0
56.597,1.88,5.43,7.21,0,0
56.663,2.14,5.63,7.55,0,0
56.731,1.92,5.01,6.66,0,0
56.801,2.72,5.05,7.08,0,0
56.871,3.17,4.33,7.27,0,0
56.941,2.3,3.76,8.73,0,0
57.007,2.56,3.95,9.08,0,0
57.074,1.57,4.14,6.13,0,0
57.141,2.41,4.48,9.11,0,0
57.211,0.5,3.83,7.97,0,0
57.281,1.04,4.21,7.86,0,0
57.351,1.12,4.02,8.47,0,0
57.421,0.72,4.02,7.97,0,0
57.491,0.91,3.99,7.89,0,0
57.561,0.91,4.06,8.08,0,0
57.631,0.53,3.99,8.31,0,0
57.706,0.27,3.64,8.16,0,0
57.779,0,3.95,8.5,0,0
57.843,-0.15,3.72,8.77,0,0
57.911,-0.04,3.68,8.27,0,0
57.973,0.23,3.95,8.39,0,0
58.042,0.08,3.79,8.24,0,0
58.109,-0.11,3.87,8.5,0,0
58.17,-0.23,3.79,8.39,0,0
58.231,0.19,3.83,8.43,0,0
58.293,0.11,3.68,8.16,0,0
58.361,0.08,3.83,8.35,0,0
58.423,-0.15,3.79,8.43,0,0
58.491,-0.11,3.68,8.39,0,0
58.552,-0.04,3.76,8.54,0,0
58.621,0.15,3.6,8.47,0,0
58.684,-0.15,3.26,8.69,0,0
58.745,-0.42,3.17,8.69,0,0
58.808,-0.11,3.41,8.35,0,0
58.873,-0.42,3.45,8.69,0,0
58.941,-0.57,3.3,8.54,0,0
59.009,-0.23,3.3,8.77,0,0
59.073,-0.11,3.26,8.31,0,0
59.141,-0.27,3.38,8.66,0,0
59.203,-0.46,3.06,8.81,0,0
59.271,-0.31,2.96,8.92,0,0
59.333,0,2.98,8.73,0,0
59.402,-0.19,3.06,8.88,0,0
59.465,-0.42,2.91,8.58,0,0
59.531,-0.08,3.06,8.66,0,0
59.601,-0.31,3.02,8.85,0,0
59.671,-0.46,2.98,8.73,0,0
59.741,0,3.45,8.35,0,0
59.81,0,3.68,8.35,0,0
59.872,0.19,3.72,8.43,0,0
59.941,0.38,3.91,8.35,0,0
60.011,0.42,3.79,8.5,0,0
60.087,0.23,3.68,8.58,0,0
60.152,0.27,3.76,8.08,0,0
60.221,0.38,3.64,8.47,0,0
60.284,0.42,3.53,8.47,0,0
60.369,0.34,3.34,8.66,0,0
60.449,0.27,2.91,8.96,0,0
60.511,0.27,2.76,8.31,0,0
60.573,0.53,3.21,8.77,0,0
60.637,0.23,2.96,8.66,0,0
60.706,-0.11,2.79,8.54,0,0
60.773,-0.04,3.38,9.15,0,0
60.837,0.04,3.02,8.2,0,0
60.901,-0.11,3.06,8.66,0,0
60.962,0,2.91,8.62,0,0
61.031,1.04,2.56,8.66,0,0
61.094,1.12,3.49,8.92,0,0
61.162,0.65,3.45,8.47,0,0
61.226,1.18,2.96,8.62,0,0
61.293,1.53,2.91,8.27,0,0
61.361,0.76,2.76,8.62,0,0
61.426,0.72,3.45,8.47,0,0
61.491,0.91,3.38,8.77,0,0
61.561,0.57,3.41,8.39,0,0
61.631,0.38,3.57,8.5,0,0
61.701,0.61,3.83,8.66,0,0
61.771,0.69,3.95,7.93,0,0
61.841,0.15,3.79,8.54,0,0
61.911,-0.65,3.99,8.24,0,0
61.978,-0.69,3.72,8.43,0,0
62.042,0.46,3.91,8.16,0,0
62.111,1.08,4.14,8.24,0,0
62.173,0.61,3.91,8.12,0,0
62.241,0.38,3.57,8.2,0,0
62.305,0.76,3.76,8.24,0,0
62.371,0.72,4.18,8.24,0,0
62.433,0.04,4.06,8.05,0,0
62.501,0.19,4.18,8.58,0,0
62.57,0.84,3.99,8.01,0,0
62.633,1.04,3.91,8.35,0,0
62.695,0.99,3.99,8.12,0,0
62.761,0.23,4.02,8.08,0,0
62.822,0.15,3.87,8.27,0,0
62.885,0.61,3.83,8.54,0,0
62.952,0.46,3.99,8.2,0,0
63.021,0.08,3.99,8.35,0,0
63.084,0.15,3.68,8.39,0,0
63.144,0.57,3.76,8.43,0,0
63.211,0.15,3.87,8.24,0,0
63.278,-0.04,3.91,8.35,0,0
63.341,0.08,3.91,8.2,0,0
