time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
997.4300000000001 , 3.72 , 2.34 , 7.78,0,0
997.499 , 3.79 , 2.41 , 7.63,0,0
997.561 , 3.45 , 2.83 , 8.120000000000001,0,0
997.629 , 2.49 , 3.11 , 8.2,0,0
997.691 , 2.2600000000000002 , 3.02 , 8.43,0,0
997.759 , 3.11 , 2.79 , 8.77,0,0
997.822 , 3.64 , 2.37 , 8.31,0,0
997.89 , 4.18 , 2.64 , 7.78,0,0
997.958 , 3.5300000000000002 , 2.49 , 8.27,0,0
998.022 , 3.3000000000000003 , 2.56 , 8.120000000000001,0,0
998.09 , 3.72 , 2.72 , 8.43,0,0
998.158 , 3.72 , 2.83 , 8.39,0,0
998.221 , 3.87 , 2.41 , 8.77,0,0
998.284 , 3.72 , 2.22 , 8.2,0,0
998.352 , 3.7600000000000002 , 2.6 , 8.120000000000001,0,0
998.4200000000001 , 3.41 , 2.98 , 8.24,0,0
998.489 , 3.41 , 2.87 , 8.16,0,0
998.557 , 3.41 , 2.68 , 8.27,0,0
998.621 , 3.7600000000000002 , 2.79 , 8.24,0,0
998.689 , 3.68 , 2.91 , 8.69,0,0
998.754 , 3.6 , 2.68 , 8.2,0,0
998.815 , 3.5700000000000003 , 2.72 , 8.16,0,0
998.881 , 3.15 , 2.91 , 7.97,0,0
998.9440000000001 , 2.87 , 3.15 , 8.16,0,0
999.015 , 2.45 , 3.15 , 7.78,0,0
999.076 , 2.87 , 3.06 , 8.5,0,0
999.142 , 3.11 , 2.96 , 7.930000000000001,0,0
999.211 , 3.02 , 3.02 , 7.930000000000001,0,0
999.275 , 2.87 , 2.91 , 8.01,0,0
999.341 , 2.49 , 3.02 , 8.120000000000001,0,0
999.403 , 2.3000000000000003 , 3.11 , 7.7,0,0
999.466 , 2.37 , 3.17 , 8.05,0,0
999.532 , 1.84 , 3.21 , 7.59,0,0
999.6030000000001 , 1.53 , 3.15 , 8.5,0,0
999.671 , 2.07 , 3.5700000000000003 , 8.85,0,0
999.741 , 1.69 , 3.2600000000000002 , 8.24,0,0
999.803 , 1.73 , 3.38 , 8.85,0,0
999.885 , 1.3800000000000001 , 3.64 , 7.78,0,0
999.9540000000001 , 1.84 , 3.95 , 8.05,0,0
1000.0160000000001 , 1.99 , 3.79 , 9.700000000000001,0,0
1000.081 , 1.53 , 3.41 , 8.69,0,0
1000.15 , 2.07 , 2.79 , 8.96,0,0
1000.212 , 1.23 , 2.83 , 7.2700000000000005,0,0
1000.2810000000001 , 1.61 , 3.7600000000000002 , 9.620000000000001,0,0
1000.349 , 1.1400000000000001 , 3.5700000000000003 , 7.59,0,0
1000.413 , 2.11 , 2.98 , 8.120000000000001,0,0
1000.482 , 1.92 , 3.02 , 8.43,0,0
1000.5500000000001 , 1.61 , 2.7600000000000002 , 8.43,0,0
1000.613 , 1.46 , 2.3000000000000003 , 8.2,0,0
1000.681 , 1.31 , 1.76 , 8.92,0,0
1000.749 , 1.27 , 1.61 , 8.96,0,0
1000.812 , 0.99 , 1.8800000000000001 , 9.040000000000001,0,0
1000.879 , 0.8 , 2.11 , 8.81,0,0
1000.941 , 0.38 , 1.99 , 8.85,0,0
1001.009 , 0.23 , 2.34 , 8.58,0,0
1001.073 , 0.11 , 2.6 , 9.040000000000001,0,0
1001.1410000000001 , -0.04 , 2.5300000000000002 , 8.5,0,0
1001.222 , 0.72 , 2.22 , 9.3,0,0
1001.284 , 1.5 , 2.56 , 8.31,0,0
1001.345 , 1.5 , 3.02 , 8.31,0,0
1001.4110000000001 , 0.76 , 2.18 , 8.66,0,0
