time,x-axis,y-axis,z-axis,Event1,Event2
898.9830000000001 , 5.24 , 1.8 , 8.040000000000001,0,0
899.047 , 5.01 , 1.61 , 8.15,0,0
899.11 , 5.28 , 1.3800000000000001 , 8.040000000000001,0,0
899.173 , 5.28 , 1.68 , 8.15,0,0
899.236 , 5.17 , 1.68 , 7.96,0,0
899.299 , 5.24 , 1.53 , 8.0,0,0
899.363 , 5.17 , 1.6500000000000001 , 8.15,0,0
899.426 , 5.05 , 1.72 , 8.040000000000001,0,0
899.489 , 5.13 , 1.68 , 8.0,0,0
899.553 , 5.32 , 1.53 , 8.15,0,0
899.616 , 5.09 , 1.19 , 8.42,0,0
899.679 , 5.01 , 0.92 , 8.61,0,0
899.743 , 4.71 , 0.92 , 8.46,0,0
899.806 , 4.59 , 0.73 , 8.35,0,0
899.8720000000001 , 4.71 , 0.8 , 8.38,0,0
899.9350000000001 , 4.71 , 0.8 , 8.35,0,0
899.999 , 4.79 , 0.73 , 8.35,0,0
900.062 , 4.79 , 0.6900000000000001 , 8.42,0,0
900.126 , 4.71 , 0.8 , 8.5,0,0
900.189 , 4.75 , 0.73 , 8.46,0,0
900.2520000000001 , 4.71 , 0.77 , 8.38,0,0
900.316 , 4.75 , 0.77 , 8.42,0,0
900.379 , 4.75 , 0.77 , 8.46,0,0
900.443 , 4.79 , 0.73 , 8.42,0,0
900.506 , 4.79 , 0.65 , 8.46,0,0
900.57 , 4.82 , 0.65 , 8.42,0,0
900.633 , 4.82 , 0.77 , 8.42,0,0
900.696 , 4.79 , 0.6900000000000001 , 8.38,0,0
900.76 , 4.79 , 0.6900000000000001 , 8.31,0,0
900.823 , 4.75 , 0.73 , 8.31,0,0
900.886 , 4.86 , 0.6900000000000001 , 8.35,0,0
900.95 , 4.9 , 0.84 , 8.120000000000001,0,0
901.013 , 5.17 , 1.19 , 8.23,0,0
901.077 , 5.05 , 1.34 , 8.0,0,0
901.14 , 5.36 , 1.3 , 8.040000000000001,0,0
901.2040000000001 , 5.28 , 1.49 , 7.8500000000000005,0,0
901.267 , 5.47 , 1.42 , 7.96,0,0
901.33 , 5.44 , 1.3800000000000001 , 7.8100000000000005,0,0
901.394 , 5.59 , 1.3800000000000001 , 8.08,0,0
901.458 , 5.67 , 1.45 , 8.08,0,0
901.5210000000001 , 5.36 , 1.34 , 7.62,0,0
901.585 , 5.4 , 1.53 , 7.92,0,0
901.648 , 5.01 , 1.76 , 7.890000000000001,0,0
901.711 , 5.21 , 1.53 , 8.08,0,0
901.775 , 5.36 , 1.45 , 7.92,0,0
901.838 , 5.44 , 1.3 , 7.69,0,0
901.9010000000001 , 5.59 , 1.34 , 7.8100000000000005,0,0
901.965 , 5.67 , 1.68 , 7.69,0,0
902.028 , 5.4 , 1.68 , 7.7700000000000005,0,0
902.092 , 5.59 , 1.57 , 7.8500000000000005,0,0
902.155 , 5.59 , 1.61 , 7.92,0,0
902.219 , 5.51 , 1.6500000000000001 , 7.69,0,0
902.282 , 5.51 , 1.57 , 7.62,0,0
902.345 , 5.55 , 1.76 , 7.69,0,0
902.409 , 5.67 , 1.8 , 7.69,0,0
902.472 , 6.01 , 1.8800000000000001 , 7.5,0,0
902.5360000000001 , 6.09 , 2.11 , 7.62,0,0
902.599 , 5.9 , 2.2600000000000002 , 7.46,0,0
902.662 , 6.01 , 2.45 , 7.3100000000000005,0,0
902.727 , 5.97 , 2.64 , 7.390000000000001,0,0
902.79 , 5.93 , 2.68 , 7.3100000000000005,0,0
902.8530000000001 , 6.09 , 2.68 , 7.24,0,0
902.916 , 6.09 , 2.64 , 7.3100000000000005,0,0
902.98 , 6.13 , 2.6 , 7.390000000000001,0,0
903.044 , 6.05 , 2.64 , 7.3500000000000005,0,0
903.107 , 5.97 , 2.64 , 7.3500000000000005,0,0
903.1700000000001 , 5.93 , 2.64 , 7.390000000000001,0,0
903.234 , 5.97 , 2.68 , 7.3500000000000005,0,0
903.298 , 5.86 , 2.79 , 7.390000000000001,0,0
903.361 , 5.78 , 2.64 , 7.3500000000000005,0,0
903.424 , 5.32 , 1.76 , 8.0,0,0
903.498 , 5.36 , 1.23 , 8.040000000000001,0,0
903.564 , 5.4 , 1.76 , 7.890000000000001,0,0
903.629 , 5.28 , 1.84 , 7.890000000000001,0,0
903.698 , 5.32 , 1.68 , 7.8100000000000005,0,0
903.766 , 5.36 , 1.72 , 7.69,0,0
903.8290000000001 , 5.44 , 1.76 , 8.0,0,0
903.893 , 5.28 , 1.76 , 7.8100000000000005,0,0
903.956 , 5.47 , 1.61 , 7.890000000000001,0,0
904.019 , 5.63 , 1.99 , 7.58,0,0
904.082 , 5.97 , 2.7600000000000002 , 7.3100000000000005,0,0
904.145 , 5.9 , 2.95 , 7.3500000000000005,0,0
904.21 , 6.2 , 3.29 , 7.2700000000000005,0,0
904.274 , 6.32 , 3.64 , 7.08,0,0
904.337 , 6.47 , 3.87 , 7.08,0,0
904.4 , 6.24 , 3.79 , 7.2,0,0
904.464 , 6.09 , 3.41 , 7.3100000000000005,0,0
904.527 , 6.01 , 3.37 , 7.3500000000000005,0,0
904.59 , 5.93 , 3.41 , 7.2700000000000005,0,0
904.654 , 5.7 , 3.45 , 7.3500000000000005,0,0
904.717 , 5.74 , 3.41 , 7.390000000000001,0,0
904.7810000000001 , 5.78 , 3.45 , 7.5,0,0
904.844 , 5.67 , 3.52 , 7.43,0,0
904.907 , 5.59 , 3.52 , 7.46,0,0
904.971 , 5.44 , 3.56 , 7.54,0,0
905.034 , 5.21 , 3.56 , 7.69,0,0
905.0980000000001 , 5.09 , 3.64 , 7.73,0,0
905.1610000000001 , 5.05 , 3.6 , 7.8500000000000005,0,0
905.224 , 5.01 , 3.48 , 7.62,0,0
905.288 , 5.17 , 3.56 , 7.62,0,0
905.351 , 5.21 , 3.64 , 7.66,0,0
